name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling,vio_rape,rape2,assault
방배2동,37.47952304,126.9821639,14370,37309,4968,339,102,602,341,27387,3,3,3,3,3,4,1,1,4,126.73,102.72,136.93
방배1동,37.48453396,126.9968522,24574,37447,5051,176,93,492,270,17223,1,2,4,1,1,1,3,1,2,106.4,89,115.74
반포2동,37.50211081,126.9969691,17401,52405,11968,13,42,142,44,24551,1,1,1,2,2,2,2,1,1,88.2,84.48,91.22
방배본동,37.49414903,126.9888457,12833,42676,9189,162,115,499,307,21763,2,4,2,4,4,3,2,2,3,91.86,93.64,92.02
내곡동,37.46182487,127.0506972,1497,23757,2105,621,14,168,57,19019,2,1,2,2,1,1,1,1,1,100.71,96.36,103.07
반포4동,37.50596343,127.0051844,14378,58473,10047,56,85,1039,533,20486,4,5,5,5,5,4,5,2,5,140.89,107.85,154.08
서초1동,37.48528606,127.0167385,15062,84958,13155,226,140,1385,488,21785,3,3,4,3,3,2,4,2,2,239.25,153.51,271
서초2동,37.49231534,127.0281926,17128,134639,19022,76,175,1042,537,16966,5,5,5,5,5,3,4,1,1,104.35,96.22,108.39
서초3동,37.49197583,127.0107921,10281,114107,21350,192,208,1815,1062,30361,4,2,4,3,4,4,3,2,3,134.07,103.02,147.41
양재1동,37.48454595,127.0378546,8289,60791,8880,1537,144,1323,546,47533,3,4,3,4,4,2,2,2,4,98.53,98.22,99.15
양재2동,37.45610783,127.0160086,3139,78158,9054,368,143,1522,629,23863,1,2,1,1,2,2,1,1,1,126.18,110.38,131.86
금호동2가,37.55473853,127.0196195,39122,17159,2558,543,92,295,191,24755,2,1,1,1,1,3,1,1,1,95.81,91.47,98.78
성수동2가,37.53805651,127.0522739,16422,22535,3768,537,97,762,335,18940,3,2,2,3,4,1,1,3,3,96.25,91.22,99.57
성수2가3동,37.54822203,127.0552459,11788,49447,6587,154,54,487,409,12049,2,4,4,4,5,4,4,3,4,113.45,94.12,122.71
옥수동,37.54383721,127.0143482,12741,23487,3949,323,67,221,123,27343,2,3,2,2,2,1,2,1,2,90.06,89.41,91.56
왕십리2동,37.56666845,127.0326577,41261,8048,1751,363,48,114,87,17801,2,3,4,2,3,3,5,1,3,91.04,89.43,93.09
용답동,37.56478034,127.0517584,7353,13990,2192,742,79,356,252,16840,2,1,3,2,3,3,4,1,5,97.72,103.69,94.64
응봉동,37.54979888,127.0300204,29686,8556,1803,189,28,66,37,16693,2,2,1,1,1,2,1,1,2,88.32,87.2,90.14
사근동,37.56030093,127.0417954,11461,7103,1251,170,34,472,431,13027,1,3,5,5,5,5,3,2,4,102.68,98.42,105.55
행당2동,37.55742882,127.0288554,61305,12903,2938,521,42,127,63,25388,1,3,4,2,3,2,2,1,3,89.78,84.64,93.58
석관동,37.60895983,127.0552681,20273,14815,2896,1055,140,518,356,34821,2,2,1,1,2,1,1,2,2,98.05,97.96,98.36
월곡1동,37.60441652,127.0324114,35123,14977,2692,699,119,470,170,28185,1,3,4,4,4,2,2,2,2,99.63,95.24,101.99
장위1동,37.61001392,127.0514227,32247,6637,1303,12390,113,328,132,21353,3,4,3,3,3,3,3,1,3,90.92,89.12,93.15
종암동,37.60009568,127.0312636,29880,21033,4021,1062,135,473,293,43088,3,1,2,2,1,2,3,1,1,94.48,91.94,96.62
길음1동,37.61060739,127.0192703,47985,21705,4581,503,97,399,204,37877,4,3,4,3,4,2,1,1,3,100.71,97.97,101.8
돈암2동,37.59732411,127.0124017,49335,13351,2548,239,17,66,35,25207,3,2,5,4,5,2,4,1,5,88.9,86.75,90.97
성북동,37.5932739,126.9984737,6409,42653,4243,370,44,293,208,18058,3,5,1,1,1,1,1,1,1,93.15,93.68,93.85
삼선동,37.58672072,127.0165982,29902,21617,2797,781,112,635,422,27258,1,3,5,5,5,4,3,1,5,108.89,99.12,113.62
