name,lat,lon,density,tax1,tax2,poor,work1,work2,work3,population,murder,burglar,rape,theft,violance,fire,drug,kidnap,gambling
사근동,37.56030093,127.0417954,11461,7103,1251,170,34,472,431,13027,1,3,5,5,5,5,3,2,4
행당2동,37.55742882,127.0288554,61305,12903,2938,521,42,127,63,25388,1,3,4,2,3,2,2,1,3
석관동,37.60895983,127.0552681,20273,14815,2896,1055,140,518,356,34821,2,2,1,1,2,1,1,2,2
월곡1동,37.60441652,127.0324114,35123,14977,2692,699,119,470,170,28185,1,3,4,4,4,2,2,2,2
장위1동,37.61001392,127.0514227,32247,6637,1303,12390,113,328,132,21353,3,4,3,3,3,3,3,1,3
종암동,37.60009568,127.0312636,29880,21033,4021,1062,135,473,293,43088,3,1,2,2,1,2,3,1,1
길음1동,37.61060739,127.0192703,47985,21705,4581,503,97,399,204,37877,4,3,4,3,4,2,1,1,3
돈암2동,37.59732411,127.0124017,49335,13351,2548,239,17,66,35,25207,3,2,5,4,5,2,4,1,5
성북동,37.5932739,126.9984737,6409,42653,4243,370,44,293,208,18058,3,5,1,1,1,1,1,1,1
삼선동,37.58672072,127.0165982,29902,21617,2797,781,112,635,422,27258,1,3,5,5,5,4,3,1,5
정릉4동,37.61607225,127.0086036,8888,11568,2020,772,52,178,143,27398,2,4,3,3,3,3,2,2,4
정릉2동,37.60456104,127.0107223,21033,9209,1694,639,37,167,125,24493,1,1,2,2,2,2,1,1,2
가락본동,37.50194235,127.1271578,25128,37436,7113,276,241,1511,589,28230,1,1,1,1,1,1,1,1,1
가락2동,37.49818447,127.1253138,36525,21580,5218,311,58,235,245,34867,5,3,4,4,5,4,3,2,4
거여 2동,37.4950966,127.146559,36998,14923,4297,1021,32,124,150,18270,2,2,2,1,2,3,1,2,2
마천1동,37.4970263,127.1482093,39503,7492,1973,1021,107,453,150,22447,3,2,3,2,3,5,1,1,5
문정1동,37.48515836,127.1297198,38679,24198,6078,193,215,1078,178,21773,3,2,3,3,4,4,2,1,3
방이 1동,37.51024667,127.1257457,32716,24744,3853,175,169,841,250,16799,4,3,4,4,5,4,5,2,5
삼전동,37.5026727,127.0927504,35633,18345,3422,688,169,585,321,33804,3,4,4,3,4,3,4,1,4
잠실4동,37.52014217,127.1125634,19573,52513,23069,25,68,513,61,30466,1,2,3,3,2,1,3,1,4
오금동,37.50689961,127.1281016,22466,27998,5929,599,124,612,295,37267,2,1,2,2,2,2,2,2,2
잠실2동,37.51209786,127.0821389,16905,26827,5443,14,39,191,105,36951,3,5,5,5,5,5,4,2,4
풍납2동,37.52875526,127.1167714,16253,23319,4766,393,43,187,156,25550,2,2,2,2,2,2,1,2,3
